Day,File,Pair,Spearman_r,Spearman_p,Spearman_CI_low,Spearman_CI_high,Kendall_tau,Kendall_p,Kendall_CI_low,Kendall_CI_high
Barney_210704,rankSim_All.mat,R1-R2,0.0722218432011834,0.001,-0.000363652902812696,0.168024057905285,0.0487914140761874,0.0009,6.01837457832878e-05,0.114242526625931
Barney_210704,rankSim_All.mat,R1-R3,0.0758798233560735,0.0008,-0.0030724112193959,0.177647177228214,0.0510331260428122,0.0008,-0.00256043738637458,0.120465880659116
Barney_210704,rankSim_All.mat,R2-R3,0.0696414963435691,0.0014,-0.00897543841542422,0.175562228325749,0.0466342359407063,0.0014,-0.00668997546261303,0.118633608499475
Barney_210704,rankSim_M1.mat,R1-R2,0.111154610950158,0.0164,-0.0680269610899506,0.328259588475069,0.0736396220267188,0.0173,-0.0498052399164987,0.223048005827245
Barney_210704,rankSim_M1.mat,R1-R3,0.112404633077055,0.0524,-0.0298567431785044,0.296521720972153,0.0749592701205604,0.0537,-0.0194848927767953,0.202047472188851
Barney_210704,rankSim_M1.mat,R2-R3,0.135025008309879,0.0052,-0.0117286236301942,0.319897004567493,0.0919028999674161,0.0051,-0.00964246840912515,0.221805071087115
Barney_210704,rankSim_M3.mat,R1-R2,0.041373469109601,0.5191,-0.170025924779475,0.274866355101566,0.0267645398080181,0.5365,-0.114496474906072,0.192363612089986
Barney_210704,rankSim_M3.mat,R1-R3,0.109200919021009,0.0809,-0.153634222510865,0.366855098884419,0.0725390551477508,0.0846,-0.106166427464585,0.260573169291363
Barney_210704,rankSim_M3.mat,R2-R3,0.00636013162250044,0.9209,-0.207871924265289,0.225088084178404,0.00560888386975344,0.8959,-0.143382346485075,0.156871839648528
Barney_210704,rankSim_PMv.mat,R1-R2,-0.0906898781745408,0.0899,-0.235298558473234,0.0941275191379096,-0.0598670465337132,0.0945,-0.161882821118729,0.0681915472209246
Barney_210704,rankSim_PMv.mat,R1-R3,0.0689577543565274,0.1628,-0.124042825774623,0.326475680497578,0.0465716999050332,0.1593,-0.0902085531308726,0.21992197816504
Barney_210704,rankSim_PMv.mat,R2-R3,-0.0122230961494765,0.8141,-0.189445380087358,0.243044509483576,-0.0059639126305793,0.8678,-0.126779961752848,0.169573925673064
Barney_210704,rankSim_S1.mat,R1-R2,0.303474903474904,0.0914,-0.324941512831439,0.92967996968403,0.225396825396825,0.0796,-0.240418118466899,0.825935464323587
Barney_210704,rankSim_S1.mat,R1-R3,0.478507078507079,0.045,-0.00318771884838697,0.912783906554186,0.33968253968254,0.0408,0,0.781459286918815
Barney_210704,rankSim_S1.mat,R2-R3,0.738481338481339,0.0021,0.204419045555056,0.924420861912773,0.549206349206349,0.0009,0.160325061035463,0.822108729893561
Barney_210706,rankSim_All.mat,R1-R2,0.0316996585475889,0.0411,-0.0313066248779118,0.113089121541642,0.0207827129175444,0.044,-0.021040889733156,0.0761435645429194
Barney_210706,rankSim_All.mat,R1-R3,-0.018727487086185,0.1877,-0.051919511768946,0.033127434541028,-0.0124699270766686,0.1888,-0.0347441479824907,0.0224813047197333
Barney_210706,rankSim_All.mat,R2-R3,0.010633780123366,0.5492,-0.0348627559553887,0.0760870037224618,0.00742054449919618,0.5284,-0.0232557361250726,0.051998469962648
Barney_210706,rankSim_M1.mat,R1-R2,0.0204275319745108,0.661,-0.122481420316301,0.221496341747067,0.0126383812701944,0.6829,-0.0860900132287097,0.151626984523411
Barney_210706,rankSim_M1.mat,R1-R3,0.0371849018204296,0.3953,-0.117673966274495,0.251243354259419,0.0246517294348218,0.3985,-0.0833827097916986,0.175742943572814
Barney_210706,rankSim_M1.mat,R2-R3,-0.0199165521031815,0.7469,-0.15596669480023,0.186417198853841,-0.0137189469781238,0.7408,-0.108266137362836,0.130581089390033
Barney_210706,rankSim_M3.mat,R1-R2,0.0539004865798148,0.352,-0.137429530323859,0.273727531016153,0.035098814229249,0.3669,-0.09091872114163,0.186563105176256
Barney_210706,rankSim_M3.mat,R1-R3,0.0519524550163382,0.3707,-0.12451526984399,0.292828694608514,0.0348353096179183,0.3709,-0.0837198793119735,0.197876543364345
Barney_210706,rankSim_M3.mat,R2-R3,-0.0373322298483184,0.5345,-0.191467234596986,0.165098095866832,-0.0256126482213439,0.5261,-0.12870233491389,0.114006106244759
Barney_210706,rankSim_PMv.mat,R1-R2,-0.0212996557930366,0.6436,-0.15368144815802,0.134203952599512,-0.0162958843159066,0.5898,-0.106739493061966,0.0898694966261078
Barney_210706,rankSim_PMv.mat,R1-R3,-0.0565342034783521,0.2004,-0.170091975458227,0.100827627840865,-0.0381905821282907,0.1947,-0.11922267770967,0.0670660841696109
Barney_210706,rankSim_PMv.mat,R2-R3,-0.00678865883408842,0.8835,-0.139292205130403,0.176396013941074,-0.00376344086021505,0.9042,-0.0944138705786831,0.121314926693218
Barney_210706,rankSim_S1.mat,R1-R2,0.296969696969697,0.4548,-1,1,0.2,0.507,-1,1
Barney_210706,rankSim_S1.mat,R1-R3,-0.539393939393939,0.0985,-1,0.254901960784314,-0.422222222222222,0.0997,-1,0.166666666666667
Barney_210706,rankSim_S1.mat,R2-R3,-0.248484848484848,0.5392,-1,1,-0.155555555555556,0.6318,-1,1
Barney_210805,rankSim_All.mat,R1-R2,0.0974144176191922,0.0012,-0.0176760264253904,0.241173237405029,0.0654583532690354,0.0013,-0.0121114521344289,0.163941369407058
Barney_210805,rankSim_All.mat,R1-R3,0.00423917621859903,0.8436,-0.0599432343228228,0.0932377790459529,0.00264725139130216,0.8524,-0.0412457157917258,0.0626963576617112
Barney_210805,rankSim_All.mat,R2-R3,0.0624890843895765,0.0162,-0.0283967258460162,0.187501208415424,0.0421262370627786,0.0156,-0.0202416215874843,0.127810820202161
Barney_210805,rankSim_M1.mat,R1-R2,0.0779401154401154,0.1185,-0.108511706614841,0.345932980027945,0.0496052096052096,0.1352,-0.0733115091730145,0.23914791654334
Barney_210805,rankSim_M1.mat,R1-R3,-0.0812692862692863,0.1092,-0.216828887977443,0.0876604807241894,-0.0603825803825804,0.0807,-0.158464180807442,0.0564669751544421
Barney_210805,rankSim_M1.mat,R2-R3,0.0960858585858586,0.0735,-0.120561258428664,0.366656973217093,0.0665689865689866,0.0669,-0.0895745783506591,0.257996845555215
Barney_210805,rankSim_M3.mat,R1-R2,-0.0632411067193676,0.6672,-0.529985632995846,0.390586411554054,-0.0505050505050505,0.6219,-0.423492313756405,0.264085872244693
Barney_210805,rankSim_M3.mat,R1-R3,0.113965744400527,0.4384,-0.366971473584715,0.562951722895168,0.0848484848484849,0.4073,-0.251334906090872,0.4174308260913
Barney_210805,rankSim_M3.mat,R2-R3,0.129512516469038,0.3925,-0.297845442187469,0.569350065318646,0.0888888888888889,0.4015,-0.246506621273187,0.440258342303552
Barney_210805,rankSim_PMv.mat,R1-R2,0.0868971358476606,0.1835,-0.197455784269624,0.391085368665643,0.055373611895351,0.2047,-0.142392648814681,0.268065461584075
Barney_210805,rankSim_PMv.mat,R1-R3,-0.0428376720730544,0.5071,-0.225372677756206,0.17617393066102,-0.0312064746847356,0.4676,-0.155973797343918,0.118509011787301
Barney_210805,rankSim_PMv.mat,R2-R3,-0.0765659378103156,0.2317,-0.265859874429713,0.136587778354534,-0.0544701675136458,0.205,-0.193654995868277,0.0869039613405188
Barney_210805,rankSim_S1.mat,R1-R2,-0.314285714285714,0.7574,-1,1,-0.333333333333333,0.7574,-1,1
